Combinations;actual;mean;std;z-score
('AUD', 'BILIARYCHIRROSIS', 'MS', 'RA', 'SLE');58;5.74;15.74;3.32
('AUD', 'BILIARYCHIRROSIS', 'MS', 'PREECLAMPSIA', 'SLE');37;3.41;10.11;3.32
('AUD', 'BILIARYCHIRROSIS', 'MS', 'PREECLAMPSIA', 'RA');37;3.51;10.1;3.32
('AUD', 'BILIARYCHIRROSIS', 'MS', 'PARKINSONS', 'SLE');29;2.69;7.92;3.32
('AUD', 'BILIARYCHIRROSIS', 'PREECLAMPSIA', 'SLE');63;6.69;16.94;3.32
('BILIARYCHIRROSIS', 'PREECLAMPSIA', 'SLE');569;73.55;149.15;3.32
('BPD', 'MS', 'PARKINSONS', 'RA', 'SLE');41;5.15;10.8;3.32
('AUD', 'BILIARYCHIRROSIS', 'CHRONICPAIN', 'MDD', 'TOURETTES');9;0.69;2.5;3.32
('ADHD', 'BPD', 'CHRONICPAIN', 'CUD');30;2.88;8.18;3.32
('BPD', 'MDD', 'RA', 'SLE', 'SZC');191;20.71;51.22;3.32
('AUD', 'BILIARYCHIRROSIS', 'MDD', 'MS', 'SZC');42;5.59;10.98;3.32
('ADHD', 'GOUT', 'MS', 'SZC', 'TOURETTES');5;0.38;1.39;3.32
('ADHD', 'BILIARYCHIRROSIS', 'PREECLAMPSIA', 'SLE', 'SZC');41;4.93;10.88;3.32
('ADHD', 'AUD', 'BILIARYCHIRROSIS', 'MDD', 'MIGRAINE');22;1.89;6.05;3.32
('ADHD', 'AUD', 'BILIARYCHIRROSIS', 'MDD', 'MS');29;2.62;7.95;3.32
('ADHD', 'AUD', 'BILIARYCHIRROSIS', 'MIGRAINE', 'MS');22;1.8;6.08;3.32
('ADHD', 'AUD', 'BILIARYCHIRROSIS', 'MS', 'PREECLAMPSIA');9;0.69;2.5;3.32
('ADHD', 'ASD', 'AUD', 'PARKINSONS');19;1.66;5.22;3.32
('ADHD', 'BILIARYCHIRROSIS', 'PARKINSONS', 'SZC', 'TOURETTES');16;1.34;4.41;3.32
('AUD', 'BILIARYCHIRROSIS', 'CUD', 'MDD', 'MS');5;0.38;1.39;3.32
('BILIARYCHIRROSIS', 'GOUT', 'SJOGRENS');58;4.96;15.96;3.32
('ASD', 'BPD', 'IBS', 'SLE');5;0.38;1.39;3.32
('AUD', 'CHRONICPAIN', 'MDD', 'SZC', 'TOURETTES');9;0.69;2.5;3.32
('BILIARYCHIRROSIS', 'GDM', 'GOUT');32;3.03;8.73;3.32
('ASD', 'BILIARYCHIRROSIS', 'GOUT', 'SLE', 'SZC');5;0.38;1.39;3.32
('GOUT', 'MDD', 'MS', 'RA', 'SZC');40;3.96;10.84;3.32
('ADHD', 'BPD', 'CUD', 'MDD', 'SZC');26;2.56;7.07;3.32
('AUD', 'BILIARYCHIRROSIS', 'BPD', 'PARKINSONS', 'SLE');28;2.53;7.67;3.32
('AUD', 'CUD', 'MDD', 'RA', 'SLE');5;0.38;1.39;3.32
('BPD', 'MDD', 'PREECLAMPSIA', 'RA', 'SLE');60;6.33;16.17;3.32
('GOUT', 'MDD', 'MS', 'SLE', 'SZC');39;4.08;10.52;3.32
('BPD', 'MDD', 'PREECLAMPSIA', 'RA', 'SZC');54;6.21;14.41;3.32
('AUD', 'BILIARYCHIRROSIS', 'BPD', 'SZC', 'TOURETTES');20;1.65;5.52;3.32
('AUD', 'CUD', 'MDD', 'MS', 'RA');5;0.38;1.39;3.32
('AUD', 'BILIARYCHIRROSIS', 'CUD', 'MDD', 'RA');5;0.38;1.39;3.32
('ADHD', 'BILIARYCHIRROSIS', 'MS', 'PARKINSONS', 'TOURETTES');15;1.26;4.14;3.32
('AUD', 'BILIARYCHIRROSIS', 'GDM', 'GOUT', 'RA');8;0.62;2.22;3.32
('GOUT', 'PARKINSONS', 'SJOGRENS', 'SLE', 'SZC');5;0.38;1.39;3.32
('AUD', 'BILIARYCHIRROSIS', 'PARKINSONS', 'SLE');117;11.0;31.89;3.32
('AUD', 'BILIARYCHIRROSIS', 'PARKINSONS', 'SZC');121;14.75;32.02;3.32
('ASD', 'BILIARYCHIRROSIS', 'RA', 'SJOGRENS', 'SLE');5;0.38;1.39;3.32
('AUD', 'BILIARYCHIRROSIS', 'PREECLAMPSIA', 'RA');63;7.91;16.6;3.32
('GOUT', 'MDD', 'PARKINSONS', 'SJOGRENS', 'SLE');5;0.38;1.39;3.32
('BILIARYCHIRROSIS', 'PREECLAMPSIA', 'RA');585;85.9;150.5;3.32
('GOUT', 'MDD', 'PARKINSONS', 'SJOGRENS', 'SZC');5;0.38;1.39;3.32
('ADHD', 'BILIARYCHIRROSIS', 'MS', 'PREECLAMPSIA', 'RA');43;3.79;11.8;3.32
('ASD', 'BILIARYCHIRROSIS', 'MDD', 'PARKINSONS', 'SLE');15;1.26;4.14;3.32
('ASD', 'BPD', 'MS', 'SJOGRENS');5;0.38;1.39;3.32
('BPD', 'MS', 'PREECLAMPSIA', 'RA', 'SLE');63;6.46;17.02;3.32
('ASD', 'BILIARYCHIRROSIS', 'MDD', 'RA', 'SJOGRENS');5;0.38;1.39;3.32
('ASD', 'BILIARYCHIRROSIS', 'MS', 'PARKINSONS', 'PREECLAMPSIA');8;0.62;2.22;3.32
('ASD', 'BILIARYCHIRROSIS', 'MS', 'PARKINSONS', 'SLE');23;2.15;6.28;3.32
('GDM', 'GOUT', 'SZC');30;3.13;8.1;3.32
('ADHD', 'BILIARYCHIRROSIS', 'MS', 'SZC', 'TOURETTES');27;2.46;7.39;3.32
('ASD', 'BILIARYCHIRROSIS', 'MS', 'SJOGRENS', 'SLE');5;0.38;1.39;3.32
('ADHD', 'BILIARYCHIRROSIS', 'MS', 'RA', 'SLE');68;6.86;18.41;3.32
('AUD', 'BILIARYCHIRROSIS', 'MS', 'PREECLAMPSIA');37;4.67;9.74;3.32
('ADHD', 'BILIARYCHIRROSIS', 'MS', 'PREECLAMPSIA', 'SLE');42;3.79;11.5;3.32
('BPD', 'MS', 'RA', 'SLE', 'SZC');136;18.41;35.43;3.32
('BILIARYCHIRROSIS', 'MS', 'PARKINSONS', 'RA', 'SLE');63;6.75;16.96;3.32
('BPD', 'GOUT', 'PARKINSONS', 'SJOGRENS');5;0.38;1.39;3.32
('BPD', 'MDD', 'SJOGRENS', 'SZC');71;6.66;19.37;3.32
('BILIARYCHIRROSIS', 'BPD', 'RA', 'SJOGRENS', 'SZC');68;5.9;18.68;3.32
('BPD', 'MDD', 'MS', 'SJOGRENS');43;3.7;11.82;3.32
('BILIARYCHIRROSIS', 'CUD', 'RA', 'SLE', 'SZC');34;3.69;9.13;3.32
('BILIARYCHIRROSIS', 'CUD', 'SJOGRENS', 'SLE', 'SZC');18;1.49;4.97;3.32
('MDD', 'MS', 'SJOGRENS', 'SLE');43;3.77;11.8;3.32
('BILIARYCHIRROSIS', 'PARKINSONS', 'RA', 'SJOGRENS', 'SZC');5;0.38;1.39;3.32
('MDD', 'RA', 'SJOGRENS');68;7.01;18.35;3.32
('BILIARYCHIRROSIS', 'MS', 'RA', 'SLE');453;53.51;120.18;3.32
('MDD', 'MS', 'SJOGRENS', 'SZC');43;4.3;11.65;3.32
('MDD', 'SJOGRENS', 'SLE');71;7.15;19.21;3.32
('BILIARYCHIRROSIS', 'MS', 'RA', 'SJOGRENS');43;4.32;11.66;3.32
('ANOREXIA', 'CHRONICPAIN', 'MDD', 'SZC');52;5.34;14.04;3.32
('MDD', 'MS', 'RA', 'SLE', 'SZC');104;11.81;27.77;3.32
('BPD', 'GOUT', 'MS', 'PARKINSONS', 'SLE');5;0.38;1.39;3.32
('ASD', 'AUD', 'BILIARYCHIRROSIS', 'MDD', 'PARKINSONS');13;1.11;3.58;3.32
('BILIARYCHIRROSIS', 'CUD', 'MDD', 'SJOGRENS');18;1.49;4.97;3.32
('MS', 'PREECLAMPSIA', 'RA', 'SLE', 'SZC');86;9.01;23.17;3.32
('ASD', 'AUD', 'BILIARYCHIRROSIS', 'MIGRAINE', 'PARKINSONS');5;0.38;1.39;3.32
('BPD', 'CUD', 'GOUT', 'SLE', 'SZC');23;1.97;6.33;3.32
('BILIARYCHIRROSIS', 'PREECLAMPSIA', 'RA', 'SLE', 'SZC');180;18.57;48.58;3.32
('BILIARYCHIRROSIS', 'BPD', 'PREECLAMPSIA', 'RA', 'SLE');159;15.27;43.23;3.32
('BPD', 'CUD', 'GOUT', 'RA', 'SZC');23;1.97;6.33;3.32
('BPD', 'MS', 'SJOGRENS', 'SLE');43;3.77;11.8;3.32
('BPD', 'CUD', 'GOUT', 'RA', 'SLE');23;2.15;6.28;3.32
('BPD', 'MS', 'SJOGRENS', 'SZC');43;4.37;11.62;3.32
('MDD', 'MS', 'SJOGRENS', 'SLE', 'SZC');43;3.6;11.85;3.32
('BILIARYCHIRROSIS', 'BPD', 'RA', 'SLE', 'SZC');259;32.86;68.07;3.32
('BPD', 'GDM', 'GOUT', 'SLE', 'SZC');5;0.38;1.39;3.32
('BPD', 'PREECLAMPSIA', 'RA', 'SLE');159;21.84;41.35;3.32
('GOUT', 'MDD', 'PARKINSONS', 'SJOGRENS');5;0.38;1.39;3.32
('ANOREXIA', 'BPD', 'CHRONICPAIN', 'SZC');46;4.89;12.39;3.32
('ASD', 'IBS', 'SLE');5;0.38;1.39;3.32
('BPD', 'CUD', 'MDD', 'SLE', 'SZC');29;2.71;7.92;3.32
('ANOREXIA', 'BPD', 'CHRONICPAIN', 'MDD');27;3.06;7.22;3.32
('ASD', 'AUD', 'CHRONICPAIN', 'SLE', 'SZC');17;1.42;4.69;3.32
('BILIARYCHIRROSIS', 'MYASTHENIAGRAVIS', 'PREECLAMPSIA', 'RA');5;0.38;1.39;3.32
('BPD', 'GDM', 'GOUT', 'SZC');25;2.03;6.91;3.32
('BILIARYCHIRROSIS', 'CUD', 'MDD', 'SJOGRENS', 'SZC');18;1.49;4.97;3.32
('ANOREXIA', 'BPD', 'CHRONICPAIN', 'CUD');26;2.2;7.16;3.32
('BPD', 'GOUT', 'MDD', 'SLE');94;9.55;25.41;3.32
('BPD', 'GOUT', 'MDD', 'SZC');111;14.18;29.16;3.32
('MS', 'RA', 'SJOGRENS', 'SLE');43;4.39;11.63;3.32
('MDD', 'MS', 'RA', 'SJOGRENS', 'SZC');43;3.77;11.8;3.32
('BPD', 'GOUT', 'RA', 'SLE');88;10.9;23.24;3.32
('BPD', 'CUD', 'MDD', 'RA', 'SLE');28;2.44;7.69;3.32
('BILIARYCHIRROSIS', 'MYASTHENIAGRAVIS', 'PREECLAMPSIA', 'RA', 'SLE');5;0.38;1.39;3.32
('BILIARYCHIRROSIS', 'CUD', 'MS', 'PARKINSONS', 'SLE');5;0.38;1.39;3.32
('BILIARYCHIRROSIS', 'MS', 'SJOGRENS', 'SLE');43;4.23;11.68;3.32
('BPD', 'GDM', 'GOUT', 'RA', 'SLE');5;0.38;1.39;3.32
('BILIARYCHIRROSIS', 'CUD', 'GOUT', 'MDD');22;1.98;6.03;3.32
('MDD', 'MS', 'RA', 'SJOGRENS');43;4.05;11.72;3.32
('BPD', 'GDM', 'GOUT', 'RA', 'SZC');5;0.38;1.39;3.32
('MS', 'RA', 'SJOGRENS', 'SLE', 'SZC');43;3.77;11.8;3.32
('BILIARYCHIRROSIS', 'BPD', 'PARKINSONS', 'PREECLAMPSIA', 'SLE');33;3.36;8.93;3.32
('BILIARYCHIRROSIS', 'BPD', 'GOUT', 'RA', 'SZC');87;8.76;23.55;3.32
('CUD', 'MDD', 'SJOGRENS', 'SLE');18;1.49;4.97;3.32
('BILIARYCHIRROSIS', 'BPD', 'MDD', 'SLE', 'SZC');190;21.42;50.72;3.32
('PARKINSONS', 'PREECLAMPSIA', 'RA', 'SLE');70;8.8;18.45;3.32
('BILIARYCHIRROSIS', 'MDD', 'RA', 'SLE');250;35.41;64.72;3.32
('BILIARYCHIRROSIS', 'MDD', 'RA', 'SJOGRENS');68;5.9;18.68;3.32
('CUD', 'GOUT', 'MDD', 'RA');22;2.07;6.0;3.32
('BILIARYCHIRROSIS', 'MDD', 'PREECLAMPSIA', 'SLE');99;11.67;26.31;3.32
('BILIARYCHIRROSIS', 'MDD', 'PREECLAMPSIA', 'RA');101;13.0;26.52;3.32
('BPD', 'GOUT', 'MDD', 'PARKINSONS', 'SJOGRENS');5;0.38;1.39;3.32
('CUD', 'MDD', 'SJOGRENS', 'SZC');18;1.49;4.97;3.32
('MS', 'PREECLAMPSIA', 'RA', 'SLE');239;24.47;64.53;3.32
('BILIARYCHIRROSIS', 'CUD', 'SJOGRENS', 'SZC');18;1.68;4.92;3.32
('BILIARYCHIRROSIS', 'GOUT', 'MS', 'RA', 'SLE');42;3.54;11.57;3.32
('BILIARYCHIRROSIS', 'MDD', 'MS', 'SJOGRENS');43;4.06;11.73;3.32
('CUD', 'GOUT', 'MDD', 'SZC');23;2.23;6.26;3.32
('ASD', 'AUD', 'BILIARYCHIRROSIS', 'BPD', 'SLE');22;1.98;6.03;3.32
('MS', 'PARKINSONS', 'PREECLAMPSIA', 'RA', 'SLE');37;3.68;10.05;3.32
('BILIARYCHIRROSIS', 'GOUT', 'MDD', 'MS', 'RA');39;3.57;10.67;3.32
('BILIARYCHIRROSIS', 'IBD', 'PREECLAMPSIA', 'SLE');23;2.06;6.31;3.32
('BPD', 'GOUT', 'MDD', 'MS', 'SZC');40;4.06;10.82;3.32
('BILIARYCHIRROSIS', 'GOUT', 'MDD', 'MS', 'SZC');39;3.83;10.59;3.32
('BILIARYCHIRROSIS', 'IBD', 'PREECLAMPSIA', 'RA');23;2.4;6.2;3.32
('BPD', 'GOUT', 'MDD', 'MS', 'SLE');39;3.57;10.67;3.32
('BILIARYCHIRROSIS', 'MDD', 'SJOGRENS', 'SZC');71;6.8;19.31;3.32
('CUD', 'RA', 'SJOGRENS', 'SLE');18;1.49;4.97;3.32
('ASD', 'AUD', 'BILIARYCHIRROSIS', 'CHRONICPAIN', 'SLE');17;1.51;4.67;3.32
('BILIARYCHIRROSIS', 'BPD', 'MS', 'SJOGRENS', 'SZC');43;3.6;11.85;3.32
('BPD', 'RA', 'SJOGRENS', 'SZC');68;7.03;18.36;3.32
('BILIARYCHIRROSIS', 'MS', 'PREECLAMPSIA', 'RA');254;27.04;68.26;3.32
('CHRONICPAIN', 'CUD', 'MDD', 'SZC');31;3.21;8.38;3.32
('BILIARYCHIRROSIS', 'BPD', 'PARKINSONS', 'PREECLAMPSIA', 'RA');34;3.59;9.15;3.32
('BPD', 'CUD', 'GOUT', 'MS', 'SLE');13;1.11;3.58;3.32
('BILIARYCHIRROSIS', 'BPD', 'MDD', 'MS', 'RA');88;11.23;23.14;3.32
('BILIARYCHIRROSIS', 'BPD', 'MDD', 'MS', 'SLE');84;9.19;22.51;3.32
('BILIARYCHIRROSIS', 'GDM', 'GOUT', 'SLE', 'SZC');5;0.38;1.39;3.32
('BPD', 'CHRONICPAIN', 'CUD', 'MDD', 'SZC');22;1.98;6.03;3.32
('BPD', 'GOUT', 'MDD', 'MS', 'RA');40;3.57;10.97;3.32
('BPD', 'CUD', 'GOUT', 'MDD', 'SZC');22;1.8;6.08;3.32
('BILIARYCHIRROSIS', 'CUD', 'SJOGRENS', 'SLE');18;1.59;4.95;3.32
('BPD', 'GOUT', 'MDD', 'RA', 'SZC');80;7.62;21.79;3.32
('BILIARYCHIRROSIS', 'BPD', 'MS', 'RA', 'SLE');168;17.33;45.32;3.32
('BILIARYCHIRROSIS', 'BPD', 'MDD', 'PREECLAMPSIA', 'RA');60;5.91;16.3;3.32
('BPD', 'CUD', 'GOUT', 'MDD', 'RA');22;1.98;6.03;3.32
('BILIARYCHIRROSIS', 'BPD', 'MDD', 'PREECLAMPSIA', 'SLE');61;5.61;16.66;3.32
('BILIARYCHIRROSIS', 'BPD', 'MS', 'PREECLAMPSIA', 'SLE');63;6.16;17.14;3.32
('BILIARYCHIRROSIS', 'BPD', 'MDD', 'PREECLAMPSIA', 'SZC');57;6.25;15.28;3.32
('CUD', 'SJOGRENS', 'SLE', 'SZC');18;1.59;4.95;3.32
('BILIARYCHIRROSIS', 'GOUT', 'PARKINSONS', 'SJOGRENS', 'SZC');5;0.38;1.39;3.32
('BILIARYCHIRROSIS', 'GOUT', 'PARKINSONS', 'SJOGRENS', 'SLE');5;0.38;1.39;3.32
('BILIARYCHIRROSIS', 'BPD', 'MDD', 'RA', 'SZC');186;23.44;49.02;3.32
('BILIARYCHIRROSIS', 'BPD', 'MS', 'PREECLAMPSIA', 'RA');64;7.14;17.12;3.32
('BPD', 'GOUT', 'MS', 'RA', 'SZC');45;4.57;12.19;3.32
('BILIARYCHIRROSIS', 'GOUT', 'MDD', 'PARKINSONS', 'SJOGRENS');5;0.38;1.39;3.32
('BILIARYCHIRROSIS', 'MS', 'RA', 'SJOGRENS', 'SZC');43;3.87;11.77;3.32
('ADHD', 'ANOREXIA', 'BPD', 'CHRONICPAIN', 'SZC');27;2.46;7.39;3.32
('PARKINSONS', 'RA', 'SJOGRENS', 'SLE', 'SZC');5;0.38;1.39;3.32
('BPD', 'CUD', 'MDD', 'SJOGRENS');18;1.49;4.97;3.32
('BPD', 'CUD', 'MDD', 'SLE');30;3.47;8.0;3.32
('BILIARYCHIRROSIS', 'MS', 'PARKINSONS', 'SZC', 'TOURETTES');15;1.44;4.09;3.32
('ANOREXIA', 'CHRONICPAIN', 'CUD');37;3.24;10.16;3.32
('BILIARYCHIRROSIS', 'SJOGRENS', 'SLE', 'SZC');71;6.91;19.29;3.32
('BILIARYCHIRROSIS', 'MDD', 'PARKINSONS', 'PREECLAMPSIA', 'SLE');18;1.68;4.92;3.32
('BILIARYCHIRROSIS', 'MIGRAINE', 'PREECLAMPSIA', 'RA', 'SLE');37;3.22;10.16;3.32
('BILIARYCHIRROSIS', 'BPD', 'GOUT', 'MDD', 'MS');39;3.56;10.67;3.32
('BILIARYCHIRROSIS', 'BPD', 'GOUT', 'MDD', 'RA');77;6.86;21.1;3.32
('BILIARYCHIRROSIS', 'BPD', 'GOUT', 'MDD', 'SZC');81;7.69;22.06;3.32
('BPD', 'GOUT', 'PARKINSONS', 'SJOGRENS', 'SLE');5;0.38;1.39;3.32
('BILIARYCHIRROSIS', 'CUD', 'GOUT', 'RA', 'SLE');22;1.89;6.05;3.32
('BILIARYCHIRROSIS', 'MS', 'RA', 'SLE', 'SZC');208;24.21;55.29;3.32
('GOUT', 'PARKINSONS', 'SJOGRENS', 'SZC');5;0.38;1.39;3.32
('BILIARYCHIRROSIS', 'RA', 'SJOGRENS', 'SZC');68;7.17;18.3;3.32
('BILIARYCHIRROSIS', 'RA', 'SJOGRENS', 'SLE');68;6.07;18.63;3.32
('GOUT', 'PARKINSONS', 'SJOGRENS', 'SLE');5;0.38;1.39;3.32
('MDD', 'MS', 'SJOGRENS');43;5.17;11.41;3.32
('BPD', 'CUD', 'RA', 'SJOGRENS');18;1.49;4.97;3.32
('BILIARYCHIRROSIS', 'BPD', 'CUD', 'SJOGRENS', 'SZC');18;1.49;4.97;3.32
('ADHD', 'ANOREXIA', 'BPD', 'MDD', 'SZC');26;2.73;7.01;3.32
('ASD', 'AUD', 'CHRONICPAIN', 'SLE');17;1.51;4.67;3.32
('BILIARYCHIRROSIS', 'CUD', 'GOUT', 'MDD', 'RA');22;1.8;6.08;3.32
('BILIARYCHIRROSIS', 'PARKINSONS', 'PREECLAMPSIA', 'RA');72;8.81;19.06;3.32
('PREECLAMPSIA', 'RA', 'SLE');569;77.6;148.03;3.32
('ASD', 'AUD', 'BILIARYCHIRROSIS', 'GOUT', 'PARKINSONS');5;0.38;1.39;3.32
('BILIARYCHIRROSIS', 'MDD', 'RA', 'SLE', 'SZC');201;22.3;53.78;3.32
('BILIARYCHIRROSIS', 'MS', 'PREECLAMPSIA', 'RA', 'SZC');90;9.86;24.14;3.32
('BILIARYCHIRROSIS', 'CUD', 'GOUT', 'MDD', 'MS');13;1.11;3.58;3.32
('BILIARYCHIRROSIS', 'GOUT', 'MDD', 'SLE');80;7.76;21.73;3.32
('BILIARYCHIRROSIS', 'BPD', 'GDM', 'GOUT', 'SZC');20;1.65;5.52;3.32
('IBD', 'PREECLAMPSIA', 'RA', 'SLE');23;1.97;6.33;3.32
('BILIARYCHIRROSIS', 'CUD', 'GOUT', 'MDD', 'SLE');22;1.8;6.08;3.32
('BILIARYCHIRROSIS', 'MDD', 'PREECLAMPSIA', 'SLE', 'SZC');73;7.3;19.76;3.32
('BILIARYCHIRROSIS', 'MS', 'RA', 'SJOGRENS', 'SLE');43;3.71;11.83;3.32
('ASD', 'AUD', 'MIGRAINE', 'PARKINSONS');5;0.38;1.39;3.32
('BILIARYCHIRROSIS', 'GOUT', 'MDD', 'SZC');82;11.0;21.4;3.32
('ADHD', 'ANOREXIA', 'BILIARYCHIRROSIS', 'RA');77;9.87;20.24;3.32
('ASD', 'PARKINSONS', 'SLE');118;13.76;31.37;3.32
('MDD', 'MS', 'PREECLAMPSIA', 'RA', 'SLE');44;3.88;12.08;3.32
('BILIARYCHIRROSIS', 'MDD', 'PREECLAMPSIA', 'RA', 'SZC');72;7.96;19.31;3.32
('MDD', 'MS', 'PREECLAMPSIA', 'SLE', 'SZC');35;3.25;9.56;3.32
('BILIARYCHIRROSIS', 'GOUT', 'MDD', 'MS');39;4.35;10.45;3.32
('ASD', 'AUD', 'SLE');109;11.62;29.29;3.32
('ASD', 'AUD', 'PARKINSONS');124;11.22;33.93;3.32
('BILIARYCHIRROSIS', 'MDD', 'MS', 'RA', 'SLE');109;10.61;29.65;3.32
('BILIARYCHIRROSIS', 'GOUT', 'RA', 'SLE');89;9.61;23.91;3.32
('BILIARYCHIRROSIS', 'GOUT', 'MDD', 'RA');78;8.94;20.82;3.32
('BILIARYCHIRROSIS', 'MDD', 'MS', 'RA', 'SJOGRENS');43;3.61;11.85;3.32
('ASD', 'BILIARYCHIRROSIS', 'PARKINSONS');117;15.37;30.64;3.32
('BILIARYCHIRROSIS', 'MS', 'PARKINSONS', 'PREECLAMPSIA', 'RA');38;3.85;10.3;3.32
('BILIARYCHIRROSIS', 'GOUT', 'SJOGRENS', 'SZC');58;4.77;16.01;3.32
('GOUT', 'MDD', 'SLE', 'SZC');98;11.42;26.08;3.32
('BILIARYCHIRROSIS', 'MS', 'SJOGRENS', 'SLE', 'SZC');43;3.77;11.8;3.32
('BILIARYCHIRROSIS', 'MS', 'PARKINSONS', 'PREECLAMPSIA', 'SLE');37;3.5;10.09;3.32
('BILIARYCHIRROSIS', 'MDD', 'MS', 'PREECLAMPSIA', 'RA');47;4.79;12.71;3.32
('ASD', 'AUD', 'GOUT', 'PARKINSONS');5;0.38;1.39;3.32
('BPD', 'CUD', 'SJOGRENS', 'SZC');18;1.59;4.95;3.32
('BILIARYCHIRROSIS', 'MDD', 'MS', 'RA', 'SZC');103;13.92;26.86;3.32
('ADHD', 'ANOREXIA', 'BPD', 'CHRONICPAIN', 'MDD');22;1.8;6.08;3.32
('BILIARYCHIRROSIS', 'MDD', 'MS', 'SJOGRENS', 'SZC');43;3.79;11.8;3.32
('BILIARYCHIRROSIS', 'BPD', 'GOUT', 'MS', 'RA');44;4.23;11.99;3.32
('BILIARYCHIRROSIS', 'GOUT', 'PARKINSONS', 'SJOGRENS');5;0.38;1.39;3.32
('ADHD', 'ANOREXIA', 'BPD', 'CHRONICPAIN');27;2.62;7.34;3.32
('MDD', 'PARKINSONS', 'RA', 'SJOGRENS', 'SZC');5;0.38;1.39;3.32
('BILIARYCHIRROSIS', 'BPD', 'GOUT', 'MS', 'SLE');40;3.75;10.93;3.32
('ASD', 'AUD', 'BPD', 'SLE', 'SZC');22;1.89;6.05;3.32
('ASD', 'AUD', 'BPD', 'PARKINSONS', 'SZC');29;2.34;8.02;3.32
('BILIARYCHIRROSIS', 'CUD', 'GOUT', 'SLE', 'SZC');22;2.07;6.0;3.32
('BILIARYCHIRROSIS', 'BPD', 'GOUT', 'PARKINSONS', 'SJOGRENS');5;0.38;1.39;3.32
('BILIARYCHIRROSIS', 'MDD', 'MS', 'SJOGRENS', 'SLE');43;3.6;11.85;3.32
('BILIARYCHIRROSIS', 'MDD', 'MS', 'SLE', 'SZC');99;11.85;26.27;3.32
('ASD', 'BPD', 'PARKINSONS', 'SLE');31;3.9;8.19;3.31
('ASD', 'BPD', 'MS', 'RA', 'SLE');25;2.5;6.8;3.31
('MDD', 'PREECLAMPSIA', 'RA', 'SLE', 'SZC');72;8.25;19.26;3.31
('ANOREXIA', 'CUD', 'MDD', 'SZC');30;2.72;8.24;3.31
('BPD', 'MDD', 'MS', 'RA', 'SZC');96;13.18;25.02;3.31
('BILIARYCHIRROSIS', 'CHRONICPAIN', 'MS', 'SLE', 'SZC');27;3.33;7.15;3.31
('ANOREXIA', 'CHRONICPAIN', 'MDD', 'MIGRAINE');12;1.12;3.29;3.31
('AUD', 'BILIARYCHIRROSIS', 'MDD', 'MS', 'RA');26;3.5;6.8;3.31
('ASD', 'BILIARYCHIRROSIS', 'MS', 'SLE', 'SZC');28;3.24;7.48;3.31
('AUD', 'MS', 'PREECLAMPSIA', 'SLE');37;4.37;9.86;3.31
('ASD', 'AUD', 'SZC');124;16.69;32.44;3.31
('AUD', 'BILIARYCHIRROSIS', 'MDD', 'MS', 'SLE');21;2.26;5.66;3.31
('BPD', 'MS', 'SJOGRENS');43;5.44;11.35;3.31
('BILIARYCHIRROSIS', 'MDD', 'SJOGRENS');71;8.41;18.89;3.31
('BILIARYCHIRROSIS', 'CHRONICPAIN', 'MS', 'RA', 'SZC');31;3.56;8.29;3.31
('ASD', 'AUD', 'BILIARYCHIRROSIS');118;15.1;31.08;3.31
('ASD', 'BILIARYCHIRROSIS', 'PREECLAMPSIA', 'RA', 'SLE');14;1.28;3.84;3.31
('BPD', 'CUD', 'GOUT', 'MDD', 'MS');13;1.2;3.56;3.31
('BPD', 'MDD', 'SJOGRENS');71;7.82;19.07;3.31
('CUD', 'GOUT', 'MDD', 'MS', 'SZC');13;1.2;3.56;3.31
('ASD', 'BPD', 'MS', 'SLE', 'SZC');17;2.11;4.5;3.31
('ASD', 'BPD', 'PARKINSONS', 'RA', 'SLE');20;2.0;5.43;3.31
('CUD', 'MS', 'SJOGRENS', 'SZC');12;1.03;3.31;3.31
('CUD', 'MDD', 'RA', 'SLE');33;3.88;8.79;3.31
('ASD', 'BPD', 'PARKINSONS', 'SLE', 'SZC');25;2.57;6.77;3.31
('AUD', 'BPD', 'MDD', 'RA', 'SLE');30;3.49;8.02;3.31
('ASD', 'BILIARYCHIRROSIS', 'PARKINSONS', 'RA', 'SLE');26;2.66;7.05;3.31
('CUD', 'RA', 'SJOGRENS', 'SZC');18;1.6;4.96;3.31
('BILIARYCHIRROSIS', 'CHRONICPAIN', 'MS', 'RA', 'SLE');30;3.14;8.11;3.31
('BILIARYCHIRROSIS', 'CHRONICPAIN', 'MDD', 'SZC', 'TOURETTES');9;0.8;2.48;3.31
('MIGRAINE', 'PREECLAMPSIA', 'RA', 'SLE');37;4.72;9.76;3.31
('ADHD', 'AUD', 'BILIARYCHIRROSIS', 'MS', 'SZC');38;4.37;10.16;3.31
('BILIARYCHIRROSIS', 'CHRONICPAIN', 'PARKINSONS', 'SLE', 'SZC');21;2.26;5.66;3.31
('IBD', 'MS', 'PREECLAMPSIA', 'SLE');12;1.03;3.31;3.31
('BILIARYCHIRROSIS', 'CUD', 'GOUT', 'RA', 'SZC');22;2.17;5.99;3.31
('AUD', 'BILIARYCHIRROSIS', 'PTSD', 'SLE', 'SZC');8;0.72;2.2;3.31
('AUD', 'BILIARYCHIRROSIS', 'RA', 'SLE', 'SZC');80;8.96;21.44;3.31
('BPD', 'CUD', 'MDD', 'MS', 'SLE');15;1.36;4.12;3.31
